2 0 88 1 4 4 1 162 17 79 1020
1 0 120 1 5 5 1 155 17 79 1020
1 0 83 2 6 6 2 160 17 79 1020
2 0 39 2 2 3 2 169 17 84 1021
2 0 61 2 3 4 3 165 18 86 1020
3 0 62 2 12 13 1 187 23 28 1024
2 0 79 1 3 4 1 165 24 29 1024
2 0 64 1 2 2 1 177 24 45 1024
2 0 65 1 2 2 1 160 25 29 1023
2 0 40 1 4 5 1 145 24 46 1023
3 0 29 1 3 4 3 149 24 48 1023
2 0 59 1 5 5 2 154 23 31 1022
1 0 86 1 3 3 1 155 23 38 1022
0 0 86 1 3 3 1 157 16 95 1021
2 0 76 2 5 6 2 160 15 95 1021
2 0 55 1 6 7 1 185 15 95 1022
2 0 59 1 2 3 2 162 14 95 1022
2 0 40 1 2 2 1 160 14 95 1022
5 0 52 1 5 5 1 164 14 95 1022
1 0 35 0 1 1 1 152 14 95 1022
3 0 23 2 3 4 1 159 14 95 1022
2 0 34 1 9 9 1 169 14 95 1022
3 0 57 1 8 8 2 172 14 95 1022
3 0 62 2 9 9 3 174 14 95 1022
2 0 60 1 7 7 1 180 14 95 1022
1 0 70 1 7 7 2 172 14 95 1022
2 0 57 1 5 5 1 187 19 59 1021
2 1 12 1 5 6 2 149 20 56 1021
1 0 43 0 3 3 1 144 23 62 1021
3 0 54 2 13 13 3 182 22 56 1021
2 0 97 3 20 20 2 190 24 47 1020
3 0 62 2 3 4 4 187 24 55 1020
4 0 47 3 4 4 4 200 19 95 1023
4 0 74 3 5 5 2 194 20 95 1023
2 0 79 2 3 4 1 179 22 95 1022
1 0 72 1 6 6 1 172 22 94 1022
3 1 33 1 9 10 1 170 17 40 1019
3 0 30 1 10 10 2 165 16 43 1019
8 0 62 2 13 14 1 184 14 68 1020
1 0 92 1 5 6 1 169 21 93 1022
1 0 106 1 5 5 1 165 13 76 1020
1 0 99 2 9 9 2 165 12 84 1020
3 0 46 1 6 7 1 164 13 87 1020
4 0 13 1 9 10 3 154 12 88 1020
2 0 64 1 2 3 1 194 11 88 1020
1 0 71 1 3 4 1 165 10 70 1021
0 0 74 1 2 3 1 165 10 69 1021
2 0 74 2 6 8 4 172 12 90 1020
3 2 19 2 4 6 2 169 14 85 1023
3 0 30 1 4 6 1 165 14 89 1023
4 0 77 4 6 6 3 167 16 91 1023
3 0 81 2 5 5 2 169 17 90 1023
1 0 124 1 5 5 1 154 19 83 1023
1 0 84 2 6 7 2 160 21 79 1024
2 1 42 2 3 3 2 170 22 74 1023
2 0 57 2 3 4 3 165 22 71 1023
3 0 65 1 15 15 1 187 21 75 1023
2 0 77 1 4 5 1 165 21 74 1023
3 0 63 2 3 3 1 182 21 70 1023
2 0 62 1 2 2 1 160 21 67 1023
2 0 39 1 4 6 1 150 16 49 1018
3 0 25 1 3 4 4 145 14 49 1019
2 0 52 1 5 6 2 154 12 85 1020
2 0 78 1 3 3 2 159 21 64 1023
0 0 84 1 3 3 1 157 19 55 1019
2 0 80 2 6 6 2 159 12 87 1020
2 0 57 1 6 7 1 185 12 67 1022
2 0 49 0 2 2 1 155 13 86 1020
2 0 37 1 2 2 1 159 12 88 1020
6 0 46 1 5 5 1 164 12 88 1020
1 0 37 0 1 1 1 152 11 89 1020
3 0 29 2 4 4 1 160 12 90 1020
2 0 35 1 9 10 1 172 16 84 1023
2 0 54 1 10 10 1 167 16 85 1023
2 0 72 2 9 10 3 174 16 86 1023
2 0 56 1 7 7 1 180 18 73 1023
1 0 78 2 8 8 2 175 19 67 1023
1 0 59 1 3 3 1 175 21 64 1023
2 0 9 1 5 5 2 140 22 59 1023
1 0 41 0 3 3 1 144 23 56 1023
3 0 52 1 13 13 2 177 24 56 1022
3 0 88 3 21 21 2 190 26 55 1018
3 0 44 2 3 4 3 189 26 46 1018
4 0 43 2 4 4 4 195 22 50 1018
4 0 64 4 5 6 3 195 20 52 1018
2 0 78 2 4 4 1 179 19 49 1017
2 0 79 1 5 5 1 174 17 46 1018
3 1 40 1 9 10 2 170 15 69 1019
2 0 35 1 9 10 1 165 13 75 1019
7 0 54 1 12 13 1 180 11 81 1019
2 0 89 1 6 6 2 169 11 89 1019
1 0 104 1 4 4 1 164 13 90 1019
1 0 100 1 6 7 1 164 13 90 1019
3 1 54 2 6 7 2 172 12 90 1019
4 0 12 1 9 10 2 150 12 91 1019
2 0 72 1 2 3 1 184 15 72 1022
1 0 72 1 3 4 1 165 15 75 1022
1 0 75 1 2 3 1 165 17 82 1023
1 0 90 1 7 9 3 170 18 80 1022
4 3 23 3 4 7 2 177 16 80 1022
3 0 30 1 4 5 1 162 22 65 1022
4 0 71 3 5 6 3 165 23 61 1022
3 0 74 3 5 5 2 172 20 72 1022
1 0 129 1 5 5 1 154 24 60 1022
1 0 83 1 5 6 1 164 24 59 1022
1 0 46 1 2 2 1 169 26 34 1019
2 0 53 1 3 4 4 165 26 38 1018
2 0 64 1 14 15 1 182 26 34 1018
2 0 76 1 4 5 1 167 25 36 1018
3 0 62 2 3 3 1 189 16 76 1018
1 0 73 1 2 2 1 164 15 78 1018
2 1 45 2 5 6 2 159 14 80 1019
3 0 24 1 3 4 3 144 14 82 1019
2 0 46 1 5 6 1 150 12 79 1019
3 0 71 2 3 3 2 164 13 88 1019
0 0 84 1 3 3 1 159 13 74 1019
1 0 80 1 3 3 1 159 11 74 1020
2 0 68 1 6 6 2 187 13 72 996
2 0 43 0 2 2 1 154 13 71 997
2 0 35 0 2 2 1 160 13 71 996
6 0 41 1 5 5 1 164 13 66 1021
1 0 33 1 1 1 1 154 17 59 997
2 0 39 2 3 3 1 164 17 54 998
2 0 42 1 9 10 1 174 18 50 998
2 0 61 1 12 13 1 172 19 47 998
2 0 52 1 7 7 3 174 19 47 998
2 0 55 2 9 9 1 179 19 46 998
1 0 82 2 9 9 1 180 21 44 998
2 0 55 1 6 6 1 200 21 43 998
3 2 20 2 5 6 2 157 23 39 998
1 0 42 0 3 3 1 144 20 38 1022
2 0 52 1 12 12 2 172 20 39 1022
3 0 77 3 20 20 1 189 19 37 1021
